mmsi,dataset,label,count
1,Training,Purse seine,4
201851,Test,Longliner,4
500430,Test,Longliner,4
773000,Test,Purse seine,4
23361900,Training,Purse seine,4
24022380,Training,Purse seine,4
24593300,Training,Trawler,1
36764000,Training,Purse seine,4
111111110,Training,Cargo/Tanker,1
111111111,Training,Purse seine,4
123450020,Test,Purse seine,4
123450800,Training,Purse seine,4
123456789,Test,Purse seine,4
200008650,Training,Longliner,4
203253400,Training,Passenger,15
203255100,Test,Passenger,14
203293400,Training,Passenger,14
203310200,Training,Passenger,14
203312200,Training,Passenger,14
203378200,Test,Passenger,14
203379400,Test,Passenger,14
203617400,Training,Passenger,15
203674400,Training,Passenger,14
203715400,Training,Passenger,15
203888400,Test,Passenger,14
204211000,Training,Longliner,3
204212000,Test,Longliner,4
204225000,Test,Longliner,3
204228000,Test,Longliner,4
204229000,Training,Trawler,1
204233000,Training,Longliner,4
204235000,Training,Longliner,3
204243000,Test,Trawler,1
204244000,Training,Trawler,1
204245000,Test,Purse seine,4
204248000,Test,Purse seine,4
204257000,Test,Purse seine,4
204260000,Test,Trawler,1
204261000,Test,Purse seine,4
204263000,Test,Trawler,1
204708000,Test,Cargo/Tanker,1
204811000,Training,Longliner,3
204813000,Test,Longliner,4
204814000,Training,Longliner,3
204815000,Training,Longliner,4
204820000,Training,Trawler,1
204848000,Training,Pots and traps,33
204856000,Training,Longliner,4
204862000,Test,Longliner,3
205001000,Training,Tug/Pilot/Supply,14
205008600,Training,Cargo/Tanker,1
205013000,Training,Tug/Pilot/Supply,14
205017000,Test,Trawler,1
205026000,Test,Trawler,1
205029000,Training,Tug/Pilot/Supply,14
205033000,Training,Passenger,15
205036000,Training,Tug/Pilot/Supply,14
205043000,Training,Passenger,15
205045800,Test,Cargo/Tanker,1
205051000,Training,Tug/Pilot/Supply,13
205057000,Training,Tug/Pilot/Supply,14
205059000,Training,Trawler,1
205063000,Training,Tug/Pilot/Supply,14
205065000,Test,Tug/Pilot/Supply,13
205067000,Test,Tug/Pilot/Supply,13
205071000,Test,Tug/Pilot/Supply,14
205074000,Test,Tug/Pilot/Supply,14
205082000,Training,Tug/Pilot/Supply,13
205084000,Training,Tug/Pilot/Supply,14
205086000,Test,Tug/Pilot/Supply,13
205106000,Training,Trawler,1
205128000,Training,Trawler,1
205148000,Training,Trawler,1
205149000,Training,Trawler,1
205150000,Training,Trawler,1
205153000,Training,Trawler,1
205155000,Training,Trawler,1
205161000,Test,Trawler,1
205162000,Test,Trawler,1
205169000,Training,Trawler,1
205170000,Test,Trawler,1
205172000,Training,Tug/Pilot/Supply,14
205177000,Training,Tug/Pilot/Supply,14
205181000,Training,Tug/Pilot/Supply,13
205188000,Test,Tug/Pilot/Supply,14
205191000,Training,Trawler,1
205192000,Test,Trawler,1
205193000,Training,Tug/Pilot/Supply,14
205197000,Test,Trawler,1
205198000,Training,Trawler,1
205199000,Test,Tug/Pilot/Supply,13
205203390,Training,Tug/Pilot/Supply,14
205212390,Training,Cargo/Tanker,1
205226410,Test,Passenger,14
205227000,Training,Trawler,1
205229090,Test,Cargo/Tanker,1
205232000,Training,Trawler,1
205233000,Training,Tug/Pilot/Supply,14
205234000,Training,Tug/Pilot/Supply,13
205236000,Training,Trawler,1
205237000,Test,Trawler,1
205237290,Test,Cargo/Tanker,1
205239000,Training,Trawler,1
205241000,Training,Trawler,1
205243000,Test,Trawler,1
205245890,Training,Cargo/Tanker,1
205245990,Test,Cargo/Tanker,1
205246000,Test,Trawler,1
205247090,Training,Cargo/Tanker,1
205247700,Test,Cargo/Tanker,1
205252690,Test,Tug/Pilot/Supply,13
205256290,Training,Cargo/Tanker,1
205258000,Test,Trawler,1
205258890,Test,Cargo/Tanker,1
205261000,Training,Trawler,1
205262000,Test,Trawler,1
205263390,Training,Cargo/Tanker,2
205264000,Training,Trawler,1
205264290,Training,Tug/Pilot/Supply,14
205265000,Training,Trawler,1
205267669,Test,Cargo/Tanker,1
205269000,Training,Trawler,1
205269190,Test,Passenger,14
205271000,Test,Trawler,1
205272000,Training,Trawler,1
205273990,Test,Tug/Pilot/Supply,14
205275000,Training,Trawler,1
205277000,Training,Trawler,1
205281000,Test,Trawler,1
205284000,Training,Trawler,1
205284690,Test,Cargo/Tanker,1
205284990,Training,Cargo/Tanker,1
205285000,Training,Trawler,1
205285590,Training,Cargo/Tanker,1
205286000,Training,Trawler,1
205286790,Training,Cargo/Tanker,1
205289990,Training,Cargo/Tanker,2
205291000,Test,Trawler,1
205293000,Training,Trawler,1
205293390,Training,Cargo/Tanker,1
205294000,Test,Trawler,1
205295690,Training,Cargo/Tanker,2
205296000,Test,Trawler,1
205298990,Training,Cargo/Tanker,1
205300000,Training,Tug/Pilot/Supply,14
205300690,Test,Cargo/Tanker,2
205301290,Training,Cargo/Tanker,1
205303000,Test,Trawler,1
205306000,Training,Trawler,1
205308000,Test,Trawler,1
205311190,Training,Cargo/Tanker,1
205315000,Training,Trawler,1
205316000,Training,Trawler,1
205320000,Training,Trawler,1
205321000,Training,Trawler,1
205322000,Test,Trawler,1
205323000,Test,Trawler,1
205325000,Training,Trawler,1
205325390,Test,Cargo/Tanker,2
205327000,Test,Trawler,1
205328000,Test,Trawler,1
205333000,Training,Trawler,1
205334890,Training,Cargo/Tanker,1
205335490,Training,Cargo/Tanker,1
205336000,Training,Trawler,1
205338490,Training,Cargo/Tanker,1
205340000,Training,Tug/Pilot/Supply,14
205340890,Training,Cargo/Tanker,1
205344390,Training,Cargo/Tanker,1
205346000,Training,Trawler,1
205346790,Test,Cargo/Tanker,1
205347300,Training,Cargo/Tanker,1
205349890,Training,Cargo/Tanker,1
205351390,Training,Cargo/Tanker,1
205356700,Test,Cargo/Tanker,1
205360090,Training,Tug/Pilot/Supply,14
205360290,Training,Cargo/Tanker,1
205361390,Test,Cargo/Tanker,1
205364790,Training,Cargo/Tanker,2
205364990,Training,Cargo/Tanker,1
205369090,Training,Cargo/Tanker,1
