mmsi,inferred,known
1,Set gillnets,
2,Tanker,
3,Cargo,
4,Trawlers,
5,Sailing,
6,Cargo,
7,Cargo,
8,Trawlers,
9,Tanker,
10,Tug,
11,Cargo,
12,Sailing,
14,Tug,
15,Tug,
16,Tanker,
18,Sailing,
19,Trawlers,
20,Trawlers,
23,Trawlers,
36,Purse seines,
41,Trawlers,
45,Trawlers,
48,Cargo,
52,Pots and traps,
54,Tug,
55,Set longlines,
56,Reefer,
58,Purse seines,
60,Seismic vessel,
61,Trawlers,
66,Sailing,
82,Pole and line,
83,Cargo,
84,Sailing,
85,Sailing,
86,Tug,
88,Trawlers,
91,Set longlines,
94,Sailing,
97,Tug,
98,Sailing,
99,Tanker,
100,Set longlines,
103,Reefer,
104,Pilot,
108,Tug,
111,Tug,
112,Reefer,
114,Tug,
119,Trawlers,
123,Purse seines,
124,Tanker,
127,Sailing,
157,Purse seines,
161,Sailing,
168,Purse seines,
200,Tanker,
201,Tanker,
211,Cargo,
225,Purse seines,
229,Purse seines,
237,Purse seines,
238,Purse seines,
249,Purse seines,
252,Tanker,
262,Cargo,
265,Purse seines,
266,Tanker,
268,Purse seines,
273,Tug,
321,Pilot,
333,Pole and line,
338,Purse seines,
345,Purse seines,
356,Sailing,
371,Tug,
372,Tug,
378,Sailing,
401,Sailing,
412,Reefer,
413,Reefer,
416,Set longlines,
424,Purse seines,
449,Tug,
456,Sailing,
470,Sailing,
489,Tug,
548,Sailing,
555,Seismic vessel,
585,Trawlers,
605,Pilot,
635,Purse seines,
679,Sailing,
680,Sailing,
712,Purse seines,
720,Purse seines,
722,Purse seines,
760,Purse seines,
815,Sailing,
852,Sailing,
888,Reefer,
898,Trawlers,
910,Set longlines,
989,Cargo,
997,Reefer,
1030,Tug,
1070,Tug,
1084,Pole and line,
1088,Trawlers,
1110,Sailing,
1111,Tug,
1129,Trawlers,
1130,Trawlers,
1172,Sailing,
1191,Tug,
1222,Cargo,
1234,Sailing,
1253,Sailing,
1266,Purse seines,
1425,Purse seines,
1510,Set gillnets,
1578,Pots and traps,
1691,Pilot,
1712,Sailing,
1720,Purse seines,
1811,Sailing,
1942,Tug,
2045,Trawlers,
2046,Trawlers,
2078,Pots and traps,
2081,Purse seines,
2083,Purse seines,
2136,Tug,
2153,Purse seines,
2176,Set longlines,
2222,Trawlers,
2225,Tug,
2254,Trawlers,
2331,Tug,
2332,Tug,
2406,Tanker,
2409,Tug,
2410,Tug,
2411,Cargo,
2419,Purse seines,
2436,Tanker,
2472,Tug,
2500,Tug,
2624,Trawlers,
2685,Trawlers,
2686,Trawlers,
2695,Trawlers,
2728,Tanker,
2829,Tanker,
2876,Trawlers,
2959,Trawlers,
3060,Trawlers,
3075,Sailing,
3077,Tug,
3099,Tug,
3203,Tug,
3243,Tug,
3245,Trawlers,
3246,Trawlers,
3323,Cargo,
3340,Cargo,
3390,Tug,
3460,Cargo,
3493,Tug,
3495,Seismic vessel,
3604,Tug,
3683,Sailing,
3695,Tanker,
3701,Trawlers,
3859,Cargo,
4024,Purse seines,
4124,Set longlines,
4270,Sailing,
4372,Set gillnets,
4413,Purse seines,
4415,Set longlines,
4563,Pilot,
4747,Trawlers,
4749,Sailing,
4910,Seismic vessel,
4922,Pole and line,
5004,Trawlers,
5092,Tug,
5381,Tug,
5608,Trawlers,
5625,Pole and line,
5708,Trawlers,
5853,Tanker,
5918,Trawlers,
6149,Reefer,
6239,Purse seines,
6267,Trawlers,
6579,Purse seines,
6666,Tug,
6667,Drifting longlines,
6893,Sailing,
7396,Drifting longlines,
8888,Reefer,
9011,Pots and traps,
9168,Set gillnets,
9404,Tug,
9673,Sailing,
9999,Sailing,
10201,Purse seines,
10223,Pole and line,
10435,Cargo,
10615,Trawlers,
10842,Pilot,
10999,Pots and traps,
11111,Tug,
11121,Sailing,
11158,Purse seines,
11311,Purse seines,
11592,Sailing,
11723,Purse seines,
11760,Trawlers,
11930,Purse seines,
12048,Pilot,
12063,Pilot,
12069,Pilot,
13017,Trawlers,
13236,Pilot,
13341,Pilot,
13521,Trawlers,
13872,Sailing,
14127,Trawlers,
14928,Sailing,
15168,Reefer,
16045,Trawlers,
16261,Sailing,
16589,Sailing,
17535,Trawlers,
17718,Purse seines,
18291,Purse seines,
18808,Trawlers,
18817,Pilot,
18918,Cargo,
19020,Trawlers,
19500,Sailing,
19687,Trawlers,
19950,Tanker,
20248,Trawlers,
20467,Tanker,
20730,Tanker,
21001,Trawlers,
21720,Cargo,
22202,Sailing,
22205,Tug,
23456,Purse seines,
24156,Pilot,
24712,Tug,
25001,Cargo,
28825,Sailing,
33839,Purse seines,
35003,Sailing,
38464,Pilot,
47379,Tanker,
50185,Tug,
54445,Cargo,
55779,Trawlers,
55997,Trawlers,
61238,Set longlines,
62428,Tanker,
65538,Tug,
66566,Sailing,
67431,Trawlers,
67976,Trawlers,
70242,Tanker,
72411,Tug,
78848,Squid,
80337,Pilot,
82099,Trawlers,
83265,Reefer,
88888,Purse seines,
90032,Set longlines,
90671,Trawlers,
90696,Pole and line,
98716,Sailing,
99999,Trawlers,
100000,Trawlers,
101843,Purse seines,
104938,Cargo,
110722,Sailing,
111111,Sailing,
