mmsi,imo,call_sign,width,avg_length,stddev_length,num_length_sources,avg_gross_tonnage,stddev_gross_tonnage,num_gross_tonnage_sources,dead_weight,source,flag_state
111100000,,,,,,0,,,0,,CLAV,Unknown
200001140,,,,77,0,1,1588,0,1,,CLAV,Unknown
204708000,9164548,CSBK,19,100.6,,1,4450,,1,5555,CLAV,Azores
212856000,9140968,P3MF8,16,97.6,0,1,3817,0,1,4000,ITU,Cyprus
212857000,9140970,P3MG8,16,98.3,0,1,3817,0,1,4000,ITU,Cyprus
214182223,7719595,ERVW,14,100.62,0,1,2754,0,1,3062,encounters,Moldova
224124000,9238703,EBTL,19,130.1,4.152509,3,7207,0,1,7748,CLAV,Spain
224434000,8817801,EHCB,16.3,105,,1,4263,,1,4200,CLAV,Spain
224500000,,,,,,0,,,0,,CLAV,Spain
229382000,9076246,DUGQ,18,122.92,,1,6964,,1,6620,CLAV,Malta
229428000,9076272,UFLQ,18,122.92,,1,6964,,1,6670,CLAV,Malta
229563000,9035072,3ETB8,19,116,0,1,6082,0,1,7197,CLAV,Malta
229575000,9120205,PCOZ,18,117,0,1,5110,0,1,5970,CLAV,Malta
229587000,8807662,3EHL5,21,148,0,1,9072,0,1,11438,CLAV,Malta
229644000,9041540,H9PE,18,129,0,1,6399,0,1,7368,CLAV,Malta
229705000,9163403,D5JZ8,18,117.27,0,1,5100,0,1,5937,CLAV,Malta
229737000,9181170,9HA3564,23,151.99,0,1,10532,0,1,10358,ITU,Malta
229738000,9064839,9HA3565,22,144.52,0,1,10203,0,1,11575,ITU,Malta
229981000,9202857,9HA3770,23,151.99,0,1,10532,0,1,12734,ITU,Malta
244542000,8810786,PESF,16,103.75,5.579072504,2,3999,0,1,5450,CLAV,Netherlands
244790145,9085479,PDKK,16,126.29,0,1,5471,0,1,7480,CLAV,Netherlands
244820009,9120205,PCOZ,18,117.18,0.155884573,2,5106.67,5.773502692,2,5970,CLAV,Netherlands
244915000,8213665,PCBT,24,151,0,1,12111,0,1,10098,ITU,Netherlands
245317000,9085479,PDKK,16,127,0.007071068,2,5471,0,1,7480,CLAV,Netherlands
245409000,9127928,D5IV7,16,133.92,0,1,5918,0,1,8500,CLAV,Netherlands
245723000,9454761,PCIU,25,165,0,1,14091,0,1,15692,ITU,Netherlands
245973000,9135822,PCPM,18,117.28,0.017320508,2,5100,0,1,5937,CLAV,Netherlands
246428000,9172959,PCIH,24,155,0,1,11382,0,1,12906,ITU,Netherlands
249665000,9004401,D5HI8,18,105,0,1,5136,0,1,6488,CLAV,Malta
249842000,8518807,V4WD2,17.8,124.69,0,1,4964,0,1,6544,CLAV,Malta
249889000,,,,,,0,,,0,,CLAV,Malta
255802850,9150470,CSMR,17,100.6,0,1,3981,0,1,5003,CLAV,Madiera
256045000,9204958,9HA3797,25,167,0,1,14413,0,1,15917,ITU,Malta
256064000,9204960,9HA3808,25,167,0,1,14413,0,1,15917,ITU,Malta
256389000,9175901,9HA3898,23,151.99,0,1,10519,0,1,12734,ITU,Malta
259723000,8911487,3EXR3,19,120.4,0,1,6420,0,1,6807,CLAV,Norway
273148810,7808334,UIVG,13,95.61,0,1,2206,0,1,3098,encounters,Russian Federation
273191300,8724377,UDQY,9,55.01,0,1,677,0,1,495,encounters,Russian Federation
273210110,8701040,UFXA,22,152.87,0,1,12403,0,1,13494,encounters,Russian Federation
273211110,8811675,UFYW,22,152.87,0,1,12406,0,1,11714,encounters,Russian Federation
273219900,7604403,UHTA,15,69.5,0,1,1966,0,1,855,encounters,Russian Federation
273253100,8826577,UFVR,13,85.1,0,1,2461,0,1,1169,ITU,Russian Federation
273310240,8303927,UIWS,13,76,0,1,1735,0,1,1714,encounters,Russian Federation
