mmsi,label
203310200,Passenger
205269190,Passenger
205596910,Passenger
211123610,Passenger
211149170,Passenger
211174890,Passenger
211189490,Passenger
211232180,Passenger
211327930,Passenger
211363240,Passenger
211477480,Passenger
211485080,Passenger
211569350,Passenger
211569800,Passenger
211588200,Passenger
211615410,Passenger
211617890,Passenger
211666580,Passenger
211676120,Passenger
214181615,Cargo
219010531,Passenger
219011409,Passenger
219012713,Passenger
219017525,Passenger
219019984,Cargo
224257190,Passenger
227020190,Passenger
227059680,Passenger
227072430,Passenger
227210470,Passenger
227223230,Passenger
227596110,Passenger
227696000,Passenger
235015085,Passenger
235025141,Passenger
235073173,Passenger
235076412,Passenger
235080733,Passenger
235081146,Passenger
235085663,Passenger
235086374,Passenger
235090316,Passenger
235108949,Passenger
238017240,Passenger
243071202,Tug
244006000,Passenger
244029057,Passenger
244030605,Passenger
244070752,Passenger
244270197,Passenger
244270557,Passenger
244270625,Passenger
244391070,Passenger
244830115,Passenger
244860341,Passenger
244870321,Passenger
247030200,Passenger
247070800,Passenger
247112500,Passenger
247114000,Passenger
247158340,Passenger
247169200,Passenger
247211300,Passenger
253220000,Passenger
261002530,Trawler
263953970,Passenger
265515880,Passenger
265518830,Passenger
265531630,Passenger
265587910,Passenger
265647590,Passenger
269101150,Passenger
271010243,Tug
272069600,Tug
272126200,Passenger
273330620,Tanker
273370500,Cargo
273380027,Passenger
273381630,Tanker
277470000,Tanker
303267000,Passenger
303940000,Cargo
310561000,Tanker
314137000,Passenger
325587000,Passenger
338191064,Passenger
338193179,Passenger
338205000,Passenger
353429000,Cargo
353849000,Passenger
366835820,Passenger
366951180,Tug
366965960,Passenger
366989360,Passenger
367167000,Cargo
367381710,Passenger
367447520,Passenger
367479480,Passenger
367658110,Passenger
373647000,Tug
373661000,Tug
374274000,Passenger
377901024,Cargo
378001000,Passenger
378112313,Passenger
403269000,Tanker
412462130,Passenger
412821000,Passenger
419018400,Passenger
419088700,Tug
419390000,Tug
431005219,Passenger
431501718,Tug
431602157,Passenger
431680144,Passenger
431800649,Passenger
432501000,Dredger
436000090,Tug
440112210,Tug
440836000,Tanker
447205000,Tug
452976810,Tanker
477042000,Tug
477092000,Passenger
477545000,Passenger
503010140,Passenger
503066000,Tug
503071000,Passenger
503081000,Tug
503376100,Passenger
503494600,Tug
503598000,Tug
503608000,Passenger
503638400,Tug
503679100,Passenger
503680900,Passenger
503743000,Tug
503746000,Tug
503759000,Passenger
503900113,Passenger
511046000,Passenger
511145000,Tug
512000344,Tug
512000465,Passenger
512000741,Passenger
512000742,Passenger
512001027,Passenger
512001259,Passenger
512001261,Passenger
512002725,Longliner
512002959,Passenger
512003135,Passenger
512004408,Passenger
512004511,Passenger
512210000,Passenger
512419000,Longliner
520085000,Longliner
520184000,Passenger
525001068,Passenger
525002076,Passenger
525005009,Passenger
525005047,Passenger
525005054,Passenger
525005256,Passenger
525006222,Passenger
525006235,Passenger
525010127,Passenger
525015910,Passenger
533511000,Cargo
563000450,Tanker
563004810,Tug
563798000,Tug
563919000,Passenger
563927000,Tanker
564158000,Tug
564215000,Tug
564228000,Passenger
564269000,Cargo
564330000,Passenger
564331000,Passenger
564355000,Tanker
564416000,Tug
564426000,Passenger
564427000,Passenger
564462000,Tanker
564528000,Tug
564530000,Tug
564569000,Tug
564582000,Tanker
564627000,Tug
564680000,Tanker
564722000,Tanker
564742000,Tug
564839000,Tug
564884000,Passenger
564968000,Tanker
565336000,Tug
565436000,Passenger
565438000,Tug
565457000,Tug
565518000,Passenger
566196000,Tug
566210000,Tanker
566357000,Passenger
566376000,Tanker
566382000,Tanker
566455000,Tug
566501000,Passenger
572811210,Passenger
616836000,Passenger
617020000,Tanker
620093000,Tug
636014323,Cargo
636015644,Tanker
671604000,Tug
725001930,Passenger
770576272,Passenger
