mmsi,shipname,imo,callsign,shiptype,shiptype_fishing,clav_TUVI,imo_rank,callsign_rank,name_rank,flag_match,date_range_match,clav_date_match,fishing_msg_ratio,clav_DateUpdated,rfmo_name,match_start,match_end,match_score
224727000,ALBACORA QUINCE,8206296,EDUS,Purse seiners,1,12,1,1,0,1,1,1,1,2/19/2015 9:10:03,ICCAT,2/21/2012 10:14:42,12/29/2015 21:03:47,59544
233714000,SEAGULL,9112545,MVBO2,Trawlers,1,8408,0,1,9,1,1,1,0.5641900693,1/22/2013 18:00:00,ICCAT,6/7/2012 2:16:44,12/30/2015 19:18:48,157724
247149950,ACCURSIO PADRE,,IZGS,Longliners,1,20046,0,1,1,1,1,1,1,1/22/2015 9:35:13,ICCAT,5/7/2013 2:44:26,12/29/2015 22:22:27,10627.6
224295000,RIO LANDRO,,EHUW,Longliners,1,8117,0,1,1,1,1,1,1,3/30/2015 4:13:03,IOTC,10/19/2012 17:46:07,12/31/2015 19:48:20,28577.6
431702140,CHIYO MARU NO.27,,JE3046,Tuna longliners,1,12405,0,1,1,1,1,1,,8/11/2015 20:16:24,WCPFC,8/14/2012 11:31:20,12/25/2015 21:30:12,5838.4
440786000,NO.308 DAE HWA,8805327,6NJI,Tuna longliners,1,206,1,1,1,1,0,1,1,6/19/2015 1:34:02,WCPFC,1/1/2012 10:58:59,12/31/2015 8:15:06,26337.8
416002117,SHENG YU,,BJ4071,Tuna longliners,1,13948,0,1,1,1,0,1,1,7/27/2015 1:11:18,WCPFC,10/18/2012 10:18:06,9/17/2015 14:46:27,262.2
440820000,Hansung No.36,,HLWD,Longliners,1,420,1,1,0,1,1,0,1,6/11/2008 0:10:12,IOTC,1/1/2012 1:41:21,12/31/2015 22:51:00,8192.5
636013649,HUMBOLDT BAY,8907888,A8OL4,Fish carriers,0,38660,1,1,1,1,1,1,,12/4/2015 6:34:43,ICCAT,1/2/2012 20:07:28,12/31/2015 23:54:32,243177.6
224079840,MIGUEL Y PEDRO,,EA6221,Purse seiners,1,20955,0,1,1,1,1,1,1,12/4/2014 11:28:30,ICCAT,7/17/2013 20:41:05,12/29/2015 5:09:15,7484.8
224023480,MAR DE ALBA,,EA7679,Purse seiners,1,21017,0,1,1,1,1,1,0.9999721153,4/13/2015 8:10:05,ICCAT,6/14/2013 11:02:15,11/17/2015 9:56:22,157039.2
247131580,STEFANO PRIMO,,IIHL2,Non-fishing vessels nei,0,20061,0,1,1,1,1,1,1,3/23/2015 6:24:55,ICCAT,8/1/2012 3:56:27,12/28/2015 22:22:49,59942.4
224318000,ANA BARRAL,,ECCB,Longliners,1,1427,1,1,1,1,1,1,0.9990712074,3/30/2015 4:12:54,IOTC,2/5/2012 21:18:43,12/8/2015 14:35:42,54272.8
416001245,SHENG I TSAI NO.668,,BJ4728,Tuna longliners,1,14231,0,1,1,1,0,1,1,7/24/2015 3:45:46,WCPFC,3/12/2015 6:12:37,11/19/2015 14:47:33,1152.4
235004110,ESPEMAR DOS,7404803,GUXV,Longliners,1,37232,1,1,1,1,1,1,0.8374304502,1/23/2015 5:23:29,IOTC,10/18/2012 10:01:24,12/29/2015 2:43:39,176685.6
416032700,HOU CHUN NO. 1,,BH3292,Longliners,1,457,0,1,1,1,1,0,1,2/21/2011 3:00:00,IATTC,9/24/2013 1:12:42,12/31/2015 22:43:58,421.075
271072420,FETTAHIN MEHMET-1,,TCPQ4,Trollers,1,7141,0,1,1,1,0,1,1,12/16/2014 9:21:50,ICCAT,9/28/2012 16:10:58,12/29/2015 6:19:49,322.4
224020170,GARCIA RODRIGUEZ,,EA8363,Non-fishing vessels nei,0,1,0,1,1,1,1,1,,5/4/2015 4:47:19,ICCAT,10/19/2012 14:01:00,10/31/2015 2:41:08,37238.4
224253000,LEYCE,8884634,EA4244,Longliners,1,1790,1,1,1,1,1,1,1,4/14/2015 8:10:00,ICCAT,4/19/2012 2:05:19,12/30/2015 11:03:40,23133.6
636016700,GREEN GLACIER,9004401,D5HI8,Fish carriers,0,16272,1,1,1,1,1,1,,11/11/2015 6:09:11,IOTC,10/17/2014 14:52:04,12/31/2015 23:54:37,87936.8
237312000,ALEXANDROS,,SW4390,Trawlers,1,8484,0,1,2,1,1,1,1,1/22/2013 18:00:00,ICCAT,10/18/2012 14:01:41,12/21/2015 17:22:35,38803.6
440952000,NO.620 DONG WON,8821498,6LCI,Longliners,1,282,1,1,0,1,1,1,1,6/24/2015 2:34:12,IOTC,1/1/2012 1:34:06,12/31/2015 22:56:17,110200
235006880,MAR DE BENS,,MDCC7,Tuna longliners,1,9227,0,1,1,1,1,0,1,2/21/2011 15:00:00,IOTC,5/24/2012 5:55:23,12/31/2015 17:22:57,3148.475
416002251,HSIN MING SHENG NO.18,,BJ4820,Tuna longliners,1,14290,0,1,1,1,1,0,1,8/7/2015 23:57:25,WCPFC,9/13/2015 22:49:14,12/30/2015 17:41:51,17.4
601391000,SANTA MONICA,,ZR3532,Longliners,1,19937,0,1,1,1,1,1,1,2/17/2015 1:34:22,CCSBT,8/1/2013 12:14:29,12/31/2015 11:34:56,26266.8
247120550,FRINE III,,IWTG,Longliners,1,19946,0,1,1,1,1,1,1,1/22/2015 9:01:58,ICCAT,5/22/2013 0:05:08,12/23/2015 7:59:03,15264
224088000,ALBATUN DOS,,ECEM,Tuna purse seiners,1,1520,1,1,1,1,1,1,1,2/17/2015 5:59:36,IOTC,6/14/2012 7:20:00,12/14/2015 22:47:21,12121.2
431700190,FUKUYO MARU NO.17,,JE3127,Tuna longliners,1,374,0,1,1,1,1,1,1,10/16/2015 5:59:58,WCPFC,4/5/2014 4:13:45,12/30/2015 21:27:56,2092.4
273352910,Grey Whale,7703962,UBZG3,Trawlers,1,31481,1,1,0,1,1,1,1,8/18/2014 8:34:28,ICCAT,1/3/2012 0:11:49,4/8/2015 22:51:37,19336
224098930,BERRIZ SAN FRANCISCO,,EAID,Pole and Line vessels,1,8211,0,1,1,1,1,1,0.9978046103,3/30/2015 4:13:05,IOTC,4/3/2012 12:10:37,12/31/2015 23:44:04,42982.8
303137000,Capt. Vincent Gann,9018880,WDG2517,Purse seiners,1,4843,1,1,0,1,1,1,,1/1/2015 3:00:00,IATTC,3/8/2012 3:35:23,12/28/2015 6:41:41,48012
440624000,Dong Won No. 808,,HLWQ,Longliners,1,267,1,1,0,1,1,1,1,10/2/2013 2:00:00,IATTC,1/1/2012 9:07:38,9/15/2015 13:27:47,58648
440192000,SUN RISE,8827416,DTAD3,Longliners,1,1202,1,0,0,1,0,1,,9/25/2015 5:14:51,IOTC,12/10/2013 4:06:25,12/23/2015 22:19:19,71700
440503000,NO.55 SHIN YUNG,8815724,6MWP,Tuna longliners,1,1126,1,1,0,1,1,1,1,7/14/2015 21:57:32,WCPFC,1/1/2012 0:02:21,12/31/2015 21:25:32,60140
338793000,OCEAN CHALLENGER,9517264,WDE3526,Tuna purse seiners,1,15752,1,1,1,1,0,1,,7/19/2015 20:40:35,WCPFC,5/15/2014 2:53:35,12/31/2015 23:04:01,21666.2
577105000,RYOMA,9133305,YJTA9,Fish carriers,0,26898,1,1,1,1,1,1,,8/14/2015 5:04:52,IOTC,8/24/2012 4:43:51,12/31/2015 22:13:08,317552.8
226254000,JANVIER LOUIS RAPHAEL,,FSXU,Tuna purse seiners,1,1738,1,0,0,1,0,0,1,2/21/2011 15:00:00,IOTC,2/6/2012 10:42:40,12/31/2015 23:47:24,12543.5
529466000,HAI SOON 39,9188520,E5U2959,Bunkers,0,35797,1,0,1,0,1,0,,8/18/2015 20:21:07,WCPFC,3/16/2012 5:20:48,4/15/2015 6:21:07,3250.2
432475000,KATSUEI MARU No. 8,8990225,JJWA,Longliners,1,570,1,1,0,1,1,1,1,7/3/2014 5:48:51,ICCAT,1/2/2012 16:27:15,2/1/2015 21:07:51,74344
232008020,FARNELLA,9211808,MZDB9,Trawlers,1,8316,1,1,0,1,1,1,1,1/22/2013 18:00:00,ICCAT,1/4/2012 6:42:57,12/31/2015 2:57:38,319288
431671000,FUKUICHI MARU NO.112,,JITS,Tuna purse seiners,1,12681,0,1,1,1,0,1,1,5/27/2015 20:33:03,WCPFC,11/20/2013 0:03:22,12/31/2015 12:20:57,8475.4
357788000,MIYABI,,3FTI9,Fish carriers,0,24156,1,1,1,0,0,1,,8/2/2012 2:18:09,IOTC,1/3/2012 10:11:32,12/31/2015 21:24:39,51821
247140520,MADONNA DI FATIMA,,IOHU,Longliners,1,19959,0,1,1,1,1,1,,1/22/2015 9:02:09,ICCAT,5/26/2013 18:11:12,12/17/2015 7:06:57,26915.2
432967000,KORYO MARU No.38,,JIBC,Longliners,1,625,1,1,0,1,1,0,1,11/12/2012 2:14:00,IOTC,1/17/2014 10:49:07,12/31/2015 15:07:05,2415.5
413270430,Jin Sheng No. 2,9105281,BZZX8,Longliners,1,529,1,1,0,1,1,1,0.9998693323,11/20/2015 3:00:00,IATTC,7/15/2014 7:42:13,12/31/2015 22:53:39,39248
224017000,Nuevo Josmaru,,EAOS,Longliners,1,832,1,1,0,1,1,1,1,10/24/2012 2:00:00,IATTC,7/19/2012 14:15:17,12/16/2015 7:30:38,145496
601391000,SANTA MONICA,6423451,ZR3532,Pole and Line vessels,1,19937,0,1,1,1,1,1,1,12/4/2015 8:54:55,ICCAT,8/1/2013 12:14:29,12/31/2015 11:34:56,26266.8
224088740,BRAULIN,,EA2761,Unknown,1,7947,0,1,1,1,1,1,0.9859660574,4/13/2015 8:09:53,ICCAT,10/16/2012 7:25:05,12/17/2015 1:23:46,12842.8
224020060,GURE OLIVER,,EA3144,Longliners,1,20966,0,1,1,1,1,1,1,2/19/2015 9:20:30,ICCAT,4/10/2014 4:55:14,2/28/2015 13:18:10,2635.6
627074000,HUON DE KERMADEC,8010386,FPSM,Purse seiners,1,681,1,1,0,0,0,0,,1/22/2013 18:00:00,ICCAT,10/19/2015 6:31:57,12/31/2015 21:04:36,231.25
247092310,ASSUNTINA MADRE,,IFUF,Longliners,1,20035,0,1,1,1,1,1,1,1/22/2015 9:28:19,ICCAT,6/7/2013 13:29:31,8/7/2015 14:42:10,25560.4
440781000,NO.623 DONG WON,8905581,DSDR7,Tuna longliners,1,256,1,1,1,1,1,1,1,7/14/2015 0:52:55,WCPFC,1/1/2012 1:39:24,12/31/2015 21:33:59,123821.2
227146400,SAINT JEAN PPN,9257785,FPZI,Trawlers,1,31392,0,1,1,1,0,1,1,2/20/2015 4:49:16,ICCAT,2/27/2012 6:46:21,12/31/2015 20:48:59,35357.4
367433490,RUMBERA,,WDF2917,Recreational fishing vessels,1,28601,0,1,1,1,1,1,,12/3/2015 9:19:17,ICCAT,1/17/2012 20:58:00,12/31/2015 23:57:57,83397.6
