mmsi,Gear_Main_Code,Gear_Sec_Code
205308000,TBB,OTB
205995000,TBB,NO
205264000,TBB,OTB
205017000,TBB,OTB
205632000,TBB,OTB
235007860,TBB,NO
205150000,TBB,OTB
205275000,TBB,OTB
205277000,TBB,OTB
205315000,TBB,OTB
245504000,TBB,NO
250002714,TBB,NO
205269000,TBB,OTB
245991000,TBB,NO
205271000,TBB,GNS
205258000,TBB,OTB
205323000,TBB,OTB
244810702,OTB,OTT
205237000,TBB,NO
205325000,TBB,OTB
205241000,OTB,NO
205101000,GNS,GTR
205265000,TBB,DRB
205345000,DRB,NO
205169000,TBB,NO
205261000,TBB,NO
205262000,TBB,OTB
205306000,TBB,OTB
205239000,TBB,OTB
250000135,DRB,OTB
205240000,SSC,OTB
244165000,TBB,NO
205149000,TBB,OTB
205227000,TBB,NO
250000764,DRB,NO
205059000,TBB,NO
205296000,TBB,OTB
205336000,TBB,OTB
205198000,TBB,NO
205293000,TBB,DRB
205155000,TBB,NO
205291000,TBB,NO
205026000,TBB,OTB
205320000,TBB,OTB
205278000,TBB,NO
205197000,TBB,NO
205307000,GNS,NO
205333000,TBB,OTB
205106000,TBB,NO
205162000,TBB,NO
235088807,TBB,NO
205191000,TBB,OTB
244157000,TBB,NO
205303000,TBB,OTB
205346000,TBB,OTB
205294000,TBB,OTB
244792000,TBB,NO
205236000,TBB,NO
205243000,TBB,OTB
205284000,TBB,OTB
205246000,TBB,NO
205232000,TBB,OTB
205316000,TBB,OTB
244721000,OTB,NO
205532000,TBB,OTB
205192000,TBB,OTB
205128000,TBB,OTB
205322000,TBB,NO
205170000,TBB,NO
250220000,SSC,OTB
205328000,TBB,OTB
246570000,TBB,GNS
205286000,TBB,OTB
205285000,TBB,OTB
205327000,OTB,GNS
205281000,TBB,OTB
205311000,GNS,GTR
205148000,TBB,OTB
244175000,TBB,NO
207822280,GNS,PTM
207293000,OTM,GNS
207823230,GNS,GNS
207827320,OTM,GNS
207829280,GNS,PTM
207828530,GNS,OTM
207429000,GNS,OTM
207827490,OTM,GNS
207326000,GNS,GND
207343400,LLS,OTM
207824340,GNS,LHM
207827790,OTM,GNS
207822750,GNS,OTM
207827920,OTM,GNS
207827350,OTM,GNS
207829360,OTM,GNS
207829440,OTM,GNS
207829520,GNS,OTM
207832280,OTM,GNS
207828790,GNS,OTM
207421000,OTM,LHM
207882640,OTM,OTM
207822660,OTM,GNS
207822650,OTM,OTM
207420000,OTM,OTM
207422000,OTM,OTM
207822670,OTM,GNS
207424000,OTM,LHM
207426000,OTM,LLD
207427000,OTM,GNS
207428000,OTM,OTM
207828930,GNS,OTM
207829550,OTM,GNS
207824740,OTM,GNS
207822580,OTM,GNS
207824690,OTM,NO
207824680,OTM,GNS
207827450,GNS,OTM
207826760,OTM,LHP
207822570,OTM,GND
207824760,GNS,OTM
207829660,GNS,OTM
207833240,OTM,GNS
207824760,GNS,GNS
207829790,OTM,GNS
209212000,OTB,NO
210928000,LLD,LLS
210975000,LLD,LLS
210924000,LLD,LLS
209465000,LLD,LLS
210732000,OTB,NO
209232000,LLD,GNS
210460000,LLD,NO
209353000,OTB,NO
210380000,OTB,NO
209499000,OTB,NO
212446000,LLD,LLS
212447000,LLD,LLS
212101000,LLD,LLS
212899000,OTB,NO
211450000,PTB,OTB
211315870,FPO,GNS
211282560,OTB,OTM
211298640,OTB,OTM
246833000,DRH,NO
211315630,TBB,OTB
211600000,TBB,OTB
211332630,OTB,TBB
211314450,OTB,SDN
277336000,OTB,NO
211267780,OTB,OTM
230996190,OTM,OTB
211517200,OTB,PTB
211232850,GNS,GNC
265741440,OTM,OTB
275312000,OTB,OTM
211505000,TBB,OTB
211758000,OTB,GNS
211227510,OTB,OTM
211325200,TBB,OTB
211479000,OTB,PTB
211314880,PTB,OTB
211214990,OTB,OTM
211551000,TBB,NO
211320460,TBB,PTB
211313600,LLS,NO
211238930,OTM,OTB
211285880,LLS,NO
218799000,OTB,OTT
211314320,LLS,NO
211390480,OTB,PTB
211458000,TBB,OTB
211476000,TBB,OTB
261011110,OTB,OTM
211667030,TBB,OTB
211565000,TBB,OTB
211416000,TBB,OTB
245647000,DRB,NO
211551270,GNS,LLS
211469000,TBB,OTB
211315750,OTB,PTB
211665000,TBB,OTB
211618000,TBB,OTB
211639000,TBB,OTB
211561000,TBB,OTB
211608000,TBB,OTB
211376000,TBB,OTB
211523500,GNS,LLS
211532000,TBB,OTB
211488000,TBB,OTB
211527000,TBB,OTB
211152000,TBB,OTB
211667000,TBB,OTB
211515000,TBB,OTB
211292280,TBB,OTB
211307520,TBB,OTB
211544000,TBB,OTB
211550000,TBB,OTB
211154000,TBB,OTB
211545000,TBB,OTB
211671000,TBB,OTB
211415000,TBB,OTB
211314990,TBB,OTB
218104000,TBB,OTB
211502000,TBB,OTB
211159000,TBB,OTB
211170000,TBB,OTB
211157000,TBB,OTB
211315230,OTB,GNS
211607000,TBB,OTB
211528000,TBB,OTB
211486000,TBB,OTB
211495000,TBB,OTB
211483000,TBB,OTB
211507000,TBB,OTB
211530000,TBB,OTB
211131000,TBB,OTB
211474000,OTB,OTM
211535140,TBB,OTB
211459000,TBB,OTB
211524000,TBB,OTB
211319400,TBB,OTB
211192000,TBB,OTB
211359830,DRB,NO
211523210,TBB,OTB
211155000,TBB,OTB
211162000,TBB,OTB
211168000,TBB,OTB
211526000,TBB,OTB
211658000,TBB,OTB
211623000,TBB,OTB
211156000,TBB,OTB
211313780,TBB,OTB
211104000,TBB,OTB
211103000,DRB,NO
211605000,TBB,OTB
211484000,TBB,OTB
211163000,TBB,OTB
211480810,GNS,LLS
211493000,TBB,OTB
211490000,TBB,OTB
211492000,TBB,OTB
211521000,TBB,OTB
211363300,DRB,TBB
211489000,TBB,OTB
211318640,TBB,OTB
211317290,TBB,OTB
211587000,TBB,OTB
211671890,TBB,OTB
211586000,TBB,OTB
211105000,DRB,NO
211520710,TBB,OTB
211332750,TBB,OTB
211373830,OTB,OTM
211501000,TBB,OTB
211101000,DRB,TBB
211626000,TBB,OTB
211438440,TBB,NO
211593750,OTB,SDN
211342400,TBB,OTB
218140000,OTB,PTB
211559000,OTB,PTB
211500000,OTB,PTB
218325000,OTM,NO
211207270,OTB,OTM
211214200,OTB,OTM
211477000,OTB,GNS
211462000,OTB,PTB
245715000,TBB,OTB
211314800,OTB,PTB
218442000,OTB,GNS
211517810,OTB,PTB
211517230,OTB,PTB
211680250,OTB,TBB
261007360,GNS,LLS
211288860,TBB,OTB
211317720,OTB,PTB
211243240,OTB,OTM
211516210,OTB,PTB
211516260,OTB,PTB
211516530,OTB,PTB
211174000,OTB,PTB
211400000,OTB,PTB
211517240,OTB,PTB
211517250,OTB,PTB
211535000,OTB,PTB
211440000,OTB,PTB
211259270,OTB,PTM
211502800,GNS,PTB
211824000,TBB,OTB
211271330,TBB,OTB
220166000,OTB,NO
218367000,TBB,OTB
211312240,OTB,TBB
211517110,GNS,PTB
211519000,OTB,PTB
211647800,TBB,OTB
211653680,TBB,NO
211510290,TBB,OTB
244790085,TBB,NO
218556000,TBB,OTB
211158000,TBB,OTB
211196000,TBB,OTB
211392000,TBB,OTB
211439000,TBB,OTB
211679730,TBB,OTB
211426000,TBB,NO
211370000,TBB,OTB
211396000,TBB,OTB
211166000,TBB,OTB
211182000,TBB,OTB
211351000,TBB,OTB
211563000,TBB,OTB
211552000,TBB,OTB
211325290,TBB,OTB
211560000,TBB,OTB
211339220,TBB,OTB
211403000,TBB,OTB
211294100,TBB,OTB
211588480,TBB,OTB
211193000,TBB,OTB
211310410,TBB,OTB
211316900,TBB,OTB
211427000,TBB,OTB
218007000,TBB,OTB
235091175,DRB,NO
245813000,TBB,OTB
211572000,TBB,OTB
235088014,TBB,NO
211555000,TBB,OTB
250001293,TBB,OTB
211339490,TBB,OTB
211241240,TBB,PTB
211279120,TBB,PTB
211386440,TBB,OTB
244615490,TBB,GNS
211815000,TBB,OTB
211375000,TBB,NO
218299000,TBB,OTM
211414290,TBB,OTB
211533000,TBB,NO
211651620,TBB,OTB
211232810,TBB,GNS
211483620,TBB,OTB
211421000,TBB,GNS
211315620,TBB,GNS
211344000,TBB,GNS
211861000,TBB,OTB
211314600,TBB,NO
211265640,TBB,OTB
211272400,TBB,OTB
211191000,TBB,NO
211180000,TBB,OTB
211420000,TBB,OTB
211161000,TBB,OTB
211245680,TBB,OTB
211546000,TBB,OTB
211287590,TBB,OTB
211176000,TBB,OTB
211625000,TBB,OTB
211398000,TBB,OTB
211187000,TBB,GNS
211164000,TBB,OTB
211199000,TBB,OTB
211364320,DRB,NO
211364330,DRB,NO
211363680,DRB,NO
218342000,DRB,NO
211198000,TBB,OTB
235066405,OTB,NO
211599000,TBB,OTB
211430000,TBB,OTB
211519080,TBB,OTB
211282410,DRB,NO
211411630,TBB,OTB
211413470,DRB,NO
211115000,DRB,NO
211595000,TBB,OTB
219001553,GNS,OTB
219009413,OTB,GNS
219009415,OTB,DRB
219013756,SDN,GNS
265669640,OTB,FPO
219014049,OTB,LLS
219002585,OTB,NO
219007932,GNS,OTB
219007596,SDN,GNS
219001703,GNS,OTB
250002704,OTB,SDN
266086000,OTB,OTB
219809000,GNS,NO
219018343,GNS,NO
220395000,GNS,GNS
220256000,OTB,NO
219633000,OTB,OTB
220352000,OTB,NO
219006301,GNS,OTB
220327000,OTB,GNS
219007925,DRB,OTB
219429000,SDN,NO
219015338,OTT,OTB
219831000,SDN,NO
219012302,GNS,NO
219006655,OTB,NO
219005995,GNS,NO
220349000,OTB,OTB
219004473,OTB,GNS
266077000,OTB,OTB
220304000,OTB,OTM
219006835,OTB,GNS
219000895,OTB,NO
244740354,DRH,NO
219005496,SDN,NO
219006508,GNS,NO
211452000,GNS,GTR
219013005,GNS,NO
220336000,OTB,OTM
219002368,OTB,SDN
219005778,GNS,NO
211410690,OTB,OTM
219000741,GNS,GNS
219689000,OTB,OTM
219871000,OTB,NO
220076000,OTB,OTB
265686850,OTB,OTB
219218000,OTB,OTB
266354000,OTB,OTB
219796000,OTB,OTB
219004144,GNS,LLS
219002047,OTB,OTB
219140000,OTB,OTM
219009738,OTB,OTB
219011018,SDN,NO
275420000,OTB,OTM
219005719,GNS,GNS
219006824,OTB,NO
219005954,OTB,NO
219481000,OTB,OTB
211106000,GNS,GTR
219002847,GNS,NO
219009229,OTM,NO
220334000,OTB,NO
219003138,GNS,NO
219005662,GNS,GNS
219002149,OTB,GNS
219001522,OTB,OTB
266083000,OTB,OTB
220335000,GNS,OTB
219936000,OTB,NO
219004161,OTB,NO
220338000,OTB,NO
