mmsi,label
111111110,Cargo
204708000,Cargo
205256290,Cargo
205258890,Cargo
205263390,Cargo
205267669,Cargo
205284690,Cargo
205285590,Cargo
205286790,Cargo
205289990,Cargo
205325390,Cargo
205334890,Cargo
205335490,Cargo
205340890,Cargo
205356700,Cargo
205360290,Cargo
205364990,Cargo
205381890,Cargo
205391990,Cargo
205394390,Cargo
205396000,Cargo
205397000,Cargo
205402090,Cargo
205402790,Cargo
205415690,Cargo
205434190,Cargo
205435990,Cargo
205450000,Cargo
205450690,Cargo
205451000,Cargo
205453000,Cargo
205453690,Cargo
205455590,Cargo
205461000,Cargo
205464990,Cargo
205471090,Cargo
205476000,Cargo
205476390,Cargo
205477290,Cargo
205490090,Cargo
205504390,Cargo
205505090,Cargo
205505790,Cargo
205509000,Cargo
205514990,Cargo
205539000,Cargo
209047000,Cargo
209177000,Cargo
209191000,Cargo
209204000,Cargo
209243000,Cargo
209300000,Cargo
209322000,Cargo
209361000,Cargo
209380000,Cargo
209627000,Cargo
209719000,Cargo
209724000,Cargo
209777000,Cargo
209792000,Cargo
209840000,Cargo
209979000,Cargo
210001000,Cargo
210008000,Cargo
210035000,Cargo
210122000,Cargo
210439000,Cargo
210505000,Cargo
210716000,Cargo
210894000,Cargo
211141000,Cargo
211187040,Cargo
211202770,Cargo
211216660,Cargo
211221440,Cargo
211224560,Cargo
211225410,Cargo
211226860,Cargo
211231300,Cargo
211232350,Cargo
211234480,Cargo
211235880,Cargo
211265530,Cargo
211284350,Cargo
211286440,Cargo
211286500,Cargo
211317180,Cargo
211363350,Cargo
211476600,Cargo
211507500,Cargo
211511160,Cargo
211517000,Cargo
211651000,Cargo
211855000,Cargo
212008000,Cargo
212037000,Cargo
212068000,Cargo
212109000,Cargo
212157000,Cargo
212172000,Cargo
212204000,Cargo
212250000,Cargo
212362000,Cargo
212375000,Cargo
212400000,Cargo
212636000,Cargo
212644000,Cargo
212675000,Cargo
212706000,Cargo
212711000,Cargo
212723000,Cargo
212882000,Cargo
212949000,Cargo
215381000,Cargo
215740000,Cargo
218023000,Cargo
218024000,Cargo
218098000,Cargo
218415000,Cargo
218627000,Cargo
218760000,Cargo
219000612,Cargo
219000737,Cargo
219003452,Cargo
219003966,Cargo
219117000,Cargo
219292000,Cargo
219318000,Cargo
219435000,Cargo
219437000,Cargo
219455000,Cargo
220223000,Cargo
220253000,Cargo
220284000,Cargo
220464000,Cargo
220600000,Cargo
225428000,Cargo
226324000,Cargo
226328000,Cargo
228057000,Cargo
228348900,Cargo
229111000,Cargo
229248000,Cargo
229249000,Cargo
230367000,Cargo
230621000,Cargo
230915000,Cargo
230917000,Cargo
230927000,Cargo
230941000,Cargo
231136000,Cargo
231565000,Cargo
231763000,Cargo
232004630,Cargo
232079000,Cargo
232877000,Cargo
232971000,Cargo
233234000,Cargo
234056000,Cargo
234299000,Cargo
235050734,Cargo
235054581,Cargo
235060306,Cargo
235060679,Cargo
235060989,Cargo
235066953,Cargo
235068085,Cargo
235075024,Cargo
235076847,Cargo
235083476,Cargo
235084107,Cargo
235085681,Cargo
235090183,Cargo
235092453,Cargo
235095162,Cargo
235095629,Cargo
235134000,Cargo
235620000,Cargo
235666000,Cargo
236333000,Cargo
236362000,Cargo
236481000,Cargo
236597000,Cargo
236598000,Cargo
237009900,Cargo
244010437,Cargo
244010517,Cargo
244010773,Cargo
244020916,Cargo
244030668,Cargo
244070991,Cargo
244100001,Cargo
244180000,Cargo
244198000,Cargo
244296000,Cargo
244341000,Cargo
244357000,Cargo
244396000,Cargo
244398000,Cargo
244430000,Cargo
244567890,Cargo
244597000,Cargo
244615748,Cargo
244615897,Cargo
244615899,Cargo
244620446,Cargo
244620781,Cargo
244620938,Cargo
244620939,Cargo
244620940,Cargo
244620955,Cargo
244620964,Cargo
244620965,Cargo
244620966,Cargo
244620973,Cargo
244626000,Cargo
244630036,Cargo
244630052,Cargo
244630112,Cargo
244630153,Cargo
244630344,Cargo
244630606,Cargo
244630718,Cargo
244630858,Cargo
244650144,Cargo
244650467,Cargo
244650575,Cargo
244650790,Cargo
244650852,Cargo
244650853,Cargo
244650868,Cargo
244650874,Cargo
244650875,Cargo
244650881,Cargo
244650883,Cargo
244650924,Cargo
244650945,Cargo
244650979,Cargo
244660032,Cargo
244660087,Cargo
244660107,Cargo
244660108,Cargo
244660118,Cargo
244660122,Cargo
244660168,Cargo
244660169,Cargo
244660178,Cargo
244660202,Cargo
244660216,Cargo
244660222,Cargo
244660224,Cargo
244660227,Cargo
244660245,Cargo
244660306,Cargo
244660390,Cargo
244660395,Cargo
244660400,Cargo
244660441,Cargo
244660449,Cargo
244660522,Cargo
244660541,Cargo
244660545,Cargo
244660620,Cargo
244660644,Cargo
244660679,Cargo
244660705,Cargo
244660725,Cargo
244660742,Cargo
244660765,Cargo
244660830,Cargo
244660905,Cargo
244660920,Cargo
244670043,Cargo
244670217,Cargo
244670295,Cargo
244670369,Cargo
244670401,Cargo
244670413,Cargo
244670435,Cargo
244670487,Cargo
244670521,Cargo
244670571,Cargo
244670674,Cargo
244670857,Cargo
244670938,Cargo
244690002,Cargo
244690071,Cargo
244690112,Cargo
244690429,Cargo
244690451,Cargo
244690455,Cargo
244690736,Cargo
244690903,Cargo
244690905,Cargo
244690914,Cargo
244700065,Cargo
244700170,Cargo
244700231,Cargo
244700271,Cargo
244700355,Cargo
244700363,Cargo
244700469,Cargo
244700537,Cargo
244700592,Cargo
244700632,Cargo
244700726,Cargo
244700749,Cargo
244700771,Cargo
244700798,Cargo
244700985,Cargo
244700986,Cargo
244710151,Cargo
244710341,Cargo
244710707,Cargo
244710763,Cargo
244710833,Cargo
244710896,Cargo
244730045,Cargo
244730477,Cargo
244730862,Cargo
244730959,Cargo
244735000,Cargo
244740730,Cargo
244740742,Cargo
244740804,Cargo
244750019,Cargo
244750021,Cargo
244750022,Cargo
244750043,Cargo
244750124,Cargo
244750163,Cargo
244750202,Cargo
244750382,Cargo
244750390,Cargo
244750401,Cargo
244750742,Cargo
244780087,Cargo
244780806,Cargo
244780826,Cargo
244874000,Cargo
244985000,Cargo
245088000,Cargo
245258000,Cargo
245334000,Cargo
245421000,Cargo
245448000,Cargo
245452000,Cargo
245457000,Cargo
245745000,Cargo
245749000,Cargo
245871000,Cargo
245897000,Cargo
246043000,Cargo
246046000,Cargo
246171000,Cargo
246190000,Cargo
246195000,Cargo
246230000,Cargo
246255000,Cargo
246345000,Cargo
246355000,Cargo
246361000,Cargo
246386000,Cargo
246443000,Cargo
246530000,Cargo
246650000,Cargo
247091500,Cargo
247098900,Cargo
247304200,Cargo
247311200,Cargo
247318300,Cargo
247590000,Cargo
248811000,Cargo
249327000,Cargo
249375000,Cargo
250002688,Cargo
250191000,Cargo
251449110,Cargo
253023000,Cargo
253031000,Cargo
253034000,Cargo
253242428,Cargo
253318000,Cargo
253396000,Cargo
253416000,Cargo
253417000,Cargo
253449000,Cargo
255786000,Cargo
255801580,Cargo
255802650,Cargo
256022000,Cargo
256232000,Cargo
256512000,Cargo
256639000,Cargo
256751000,Cargo
257329800,Cargo
257366000,Cargo
258030500,Cargo
258232000,Cargo
258463000,Cargo
258484000,Cargo
258538000,Cargo
258574000,Cargo
258758000,Cargo
258822000,Cargo
261002100,Cargo
261011150,Cargo
261479000,Cargo
263757000,Cargo
265191000,Cargo
265288000,Cargo
265327000,Cargo
265413000,Cargo
265596390,Cargo
265609090,Cargo
265627630,Cargo
265649390,Cargo
266248000,Cargo
266260000,Cargo
269056666,Cargo
269056737,Cargo
269056742,Cargo
269057405,Cargo
277400000,Cargo
303683000,Cargo
304010514,Cargo
304010515,Cargo
304010625,Cargo
304010998,Cargo
304267000,Cargo
304304000,Cargo
304416000,Cargo
304418000,Cargo
304616000,Cargo
304695000,Cargo
304696000,Cargo
304707000,Cargo
304771000,Cargo
304816000,Cargo
304922000,Cargo
304923000,Cargo
304944000,Cargo
304967000,Cargo
304972000,Cargo
305001000,Cargo
305015000,Cargo
305089000,Cargo
305115000,Cargo
305134000,Cargo
305148000,Cargo
305174000,Cargo
305234000,Cargo
305259000,Cargo
305268000,Cargo
305272000,Cargo
305299000,Cargo
305346000,Cargo
305355000,Cargo
305360000,Cargo
305399000,Cargo
305412000,Cargo
305414000,Cargo
305468000,Cargo
305506000,Cargo
305531000,Cargo
305593000,Cargo
305600000,Cargo
305622000,Cargo
305643000,Cargo
305648000,Cargo
305654000,Cargo
305669000,Cargo
305685000,Cargo
305697000,Cargo
305707000,Cargo
305709000,Cargo
305735000,Cargo
305741000,Cargo
305817000,Cargo
305838000,Cargo
305875000,Cargo
305886000,Cargo
308654000,Cargo
308803000,Cargo
308839000,Cargo
309369000,Cargo
309497000,Cargo
309536000,Cargo
309601000,Cargo
309759000,Cargo
309764000,Cargo
309887000,Cargo
310132000,Cargo
310398000,Cargo
311004900,Cargo
311013600,Cargo
311018600,Cargo
311035300,Cargo
311038300,Cargo
311045300,Cargo
311301000,Cargo
311349000,Cargo
311351000,Cargo
311353000,Cargo
311392000,Cargo
311738000,Cargo
311818000,Cargo
311864000,Cargo
311945000,Cargo
311995000,Cargo
311996000,Cargo
314257000,Cargo
314317000,Cargo
316003289,Cargo
316003656,Cargo
316018616,Cargo
316262000,Cargo
319013600,Cargo
319025600,Cargo
319035500,Cargo
319058000,Cargo
319740000,Cargo
319950000,Cargo
338420000,Cargo
338781000,Cargo
351223000,Cargo
351229000,Cargo
351241000,Cargo
351285000,Cargo
351678000,Cargo
351698000,Cargo
351800000,Cargo
351968000,Cargo
352123000,Cargo
352270000,Cargo
352407000,Cargo
352448000,Cargo
352496000,Cargo
352548000,Cargo
352651000,Cargo
352698000,Cargo
352713000,Cargo
353111000,Cargo
353306000,Cargo
353613000,Cargo
353633000,Cargo
353788000,Cargo
353825000,Cargo
353870000,Cargo
353936000,Cargo
354086000,Cargo
354362000,Cargo
354519000,Cargo
354591000,Cargo
354614000,Cargo
354807000,Cargo
354826000,Cargo
354893000,Cargo
355051000,Cargo
355100000,Cargo
355139000,Cargo
355234000,Cargo
355249000,Cargo
355290000,Cargo
355368000,Cargo
355390000,Cargo
355444000,Cargo
355717000,Cargo
355739000,Cargo
356005000,Cargo
356027000,Cargo
356145000,Cargo
356333000,Cargo
356391000,Cargo
356405000,Cargo
356459000,Cargo
356462000,Cargo
356571000,Cargo
356941000,Cargo
357147000,Cargo
357170000,Cargo
357260000,Cargo
357388000,Cargo
357389000,Cargo
357496000,Cargo
357668000,Cargo
357773000,Cargo
366365000,Cargo
366375000,Cargo
366503000,Cargo
366557000,Cargo
366562000,Cargo
366563000,Cargo
366576000,Cargo
366629000,Cargo
366758000,Cargo
366791000,Cargo
366793000,Cargo
366799000,Cargo
367003380,Cargo
367196000,Cargo
367438000,Cargo
367486370,Cargo
367492920,Cargo
367834000,Cargo
368164000,Cargo
368305000,Cargo
368684000,Cargo
368685000,Cargo
368686000,Cargo
368836000,Cargo
368992000,Cargo
369247000,Cargo
369285000,Cargo
369296000,Cargo
369326000,Cargo
369701000,Cargo
370081000,Cargo
370082000,Cargo
370095000,Cargo
370097000,Cargo
370180000,Cargo
370295000,Cargo
370320000,Cargo
370410000,Cargo
370412000,Cargo
370458000,Cargo
370797000,Cargo
370894000,Cargo
370993000,Cargo
371012000,Cargo
371065000,Cargo
371073000,Cargo
371096000,Cargo
371111000,Cargo
371437000,Cargo
371522000,Cargo
371563000,Cargo
371608000,Cargo
371618000,Cargo
371620000,Cargo
371627000,Cargo
371641000,Cargo
371697000,Cargo
371714000,Cargo
371795000,Cargo
371797000,Cargo
371827000,Cargo
371862000,Cargo
371885000,Cargo
371888000,Cargo
372052000,Cargo
372118000,Cargo
372148000,Cargo
372204000,Cargo
372205000,Cargo
372290000,Cargo
372308000,Cargo
372345000,Cargo
372346000,Cargo
372459000,Cargo
372548000,Cargo
372610000,Cargo
372827000,Cargo
372945000,Cargo
372955000,Cargo
373072000,Cargo
373120000,Cargo
373167000,Cargo
373206000,Cargo
373599000,Cargo
373822000,Cargo
373944000,Cargo
375666000,Cargo
376001700,Cargo
376121000,Cargo
377801000,Cargo
377901003,Cargo
412031260,Cargo
412047520,Cargo
412055660,Cargo
412055870,Cargo
412079240,Cargo
412079280,Cargo
412324930,Cargo
412330570,Cargo
412330580,Cargo
412350960,Cargo
412373090,Cargo
412373140,Cargo
412377090,Cargo
412400170,Cargo
412406910,Cargo
412407680,Cargo
412427090,Cargo
412429880,Cargo
412433920,Cargo
412435720,Cargo
412450390,Cargo
412469640,Cargo
412476010,Cargo
412703760,Cargo
412750910,Cargo
412755110,Cargo
412763370,Cargo
412949000,Cargo
413038000,Cargo
413053000,Cargo
413079010,Cargo
413143000,Cargo
413145000,Cargo
413169000,Cargo
413200650,Cargo
413304000,Cargo
413323640,Cargo
413355340,Cargo
413371160,Cargo
413371190,Cargo
413371220,Cargo
413371230,Cargo
413371260,Cargo
413371270,Cargo
413373390,Cargo
413373490,Cargo
413373510,Cargo
413375660,Cargo
413404240,Cargo
413406450,Cargo
413408270,Cargo
413426890,Cargo
413431870,Cargo
413432760,Cargo
413433370,Cargo
413434490,Cargo
413434850,Cargo
413436310,Cargo
413446550,Cargo
413462340,Cargo
413468190,Cargo
413468250,Cargo
413472140,Cargo
413473150,Cargo
413473160,Cargo
413473170,Cargo
413473630,Cargo
413474360,Cargo
413508000,Cargo
413521680,Cargo
