mmsi,Label,Match?,Is this a purse seiner?,Who?,Notes,Link,shipname,imo,callsign,imo_rank,callsign_rank,name_rank,flag_match,date_range_match,clav_date_match,fishing_msg_ratio,Score (callsign + flagmatch),clav_DateUpdated,rfmo_name,match_start,clav_DateUpdated,match_score,shiptype,shiptype_fishing,clav_TUVI
441853000,Purse seiners,?,yes,WB,"name: Sajo Familia, no results yielded from WCPFC",https://www.google.com/search?q=441853000+mmsi,SHILLA PACER,,6KCA3,0,1,0,1,0,1,1,2,31:02.0,WCPFC,58:08.0,5/31/14,20502,Tuna purse seiners,1,12156
431435000,Purse seiners,?,yes,WB,"pic available (http://www.wcpfc.int/node/20680), but dimensions and callsign wrong",https://www.google.com/search?q=431435000+mmsi,KOYO MARU NO.88,,7JJR,0,1,0,1,0,1,1,2,53:11.0,WCPFC,41:41.0,3/6/15,4872,Tuna purse seiners,1,12691
431435000,Purse seiners,?,yes,WB,same vessel as last,https://www.google.com/search?q=431435000+mmsi,KOYO MARU No.88,8122529,7JJR,0,1,0,1,0,1,1,2,03:08.0,IOTC,41:41.0,4/4/15,4872,Tuna purse seiners,1,12691
271072753,Purse seiners,?,yes,VL,name is not the same,https://www.google.com/search?q=271072753+mmsi,Šü__Šü__AKIRBABA,,TC7342,0,1,0,1,0,1,1,2,21:51.0,ICCAT,08:50.0,12/16/14,8560,Purse seiners,1,7187
271072458,Purse seiners,?,yes,VL ,name does not match ,https://www.google.com/search?q=271072458+mmsi,AKTUR BALIKŠü__Šü__ILIK,,TC5849,0,1,0,1,0,1,1,2,52:10.0,ICCAT,22:06.0,6/6/14,2914,Purse seiners,1,7151
271072415,Purse seiners,?,yes,VL ,name is different,https://www.google.com/search?q=271072415+mmsi,KARDEŠü__Šü__LER BALIKŠü__Šü__ILIK-B,,TC9547,0,1,0,1,0,1,1,2,21:53.0,ICCAT,00:47.0,12/16/14,8834,Purse seiners,1,7334
271072320,Purse seiners,?,yes,VL ,name does not match,https://www.google.com/search?q=271072320+mmsi,ZAMKŠü__Šü__NOZLAR-II,,TC4820,0,1,0,1,0,1,1,2,44:00.0,ICCAT,58:40.0,5/18/15,11548,Purse seiners,1,6922
271040494,Purse seiners,?,yes,VL,name does not match ,https://www.google.com/search?q=271040494+mmsi,ABDŠü__Šü__LKERŠü__Šü__M,,TC9290,0,1,0,1,0,1,0.69581749,2,21:48.0,ICCAT,13:57.0,12/16/14,1196,Purse seiners,1,6963
235006500,Purse seiners,?,yes,WB,"mmsi: 667001590, name: Pathway PD165",https://www.google.com/search?q=235006500+mmsi,PATHWAY,9281035,MCCC8,0,1,0,1,0,1,1,2,00:00.0,ICCAT,57:25.0,1/22/13,145834,Purse seiners,1,8455
413552920,Purse seiners,?,yes,WB,"name: Hengtai169, callsign: BQUF, type: Cargo (MarineTraffic has record from 4-14-16, whereas WCPFC has only a record from december-2015) picture on WCPFC is a purse seine",https://www.google.com/search?q=413552920+mmsi,YU WEN NO.301,8748579,BEBG,0,1,0,0,0,0,0.008088867,1,37:10.0,WCPFC,19:09.0,12/6/15,3706.25,Tuna purse seiners,1,14360
413465410,Purse seiners,?,yes,WB,"name: Huijinqiao181, flag: china, type: cargo (on WCPFC, the flag is Japan but pic is purse seine)",https://www.google.com/search?q=413465410+mmsi,KOYO MARU NO.1,,JMAD,0,1,0,0,0,0,,1,25:01.0,WCPFC,39:01.0,2/11/15,1235.75,Purse seiners,1,12706
412437022,Purse seiners,?,yes,WB,MMSI: 412437022 (412436107 @WCPFC),https://www.google.com/search?q=412437022+mmsi,Zhe Xiang Yu 76015,,412436107,0,0,1,1,0,1,1,1,19:40.0,WCPFC,27:09.0,5/31/14,135.4,Purse seiners,1,36245
