mmsi,shipname,imo,callsign,shiptype,shiptype_fishing,clav_TUVI,imo_rank,callsign_rank,name_rank,flag_match,date_range_match,clav_date_match,fishing_msg_ratio,clav_DateUpdated,rfmo_name,match_start,match_end,match_score
636013649,Humboldt Bay,8907888,,Fish carriers,0,38660,1,0,1,1,1,1,,12/3/2015 3:00:00,IATTC,1/2/2012 20:07:28,12/31/2015 23:54:32,128969.6
431702130,FUKUYO MARU NO.8,,JE3043,Tuna longliners,1,12408,0,1,1,1,0,0,1,10/16/2015 5:51:15,WCPFC,4/20/2014 4:28:36,6/19/2015 22:48:16,125.8
224016000,CELTIC BAY,,EACH,Tuna longliners,1,97,1,1,1,1,1,1,0.10677579,7/13/2015 7:38:02,WCPFC,1/3/2012 5:36:58,12/31/2015 11:15:18,71223.6
529089000,SHIN HO CHUN NO. 101,9220653,3FRF9,Fish carriers,0,26687,1,0,1,0,1,0,,10/26/2015 15:56:04,WCPFC,1/1/2012 3:19:17,7/17/2015 5:09:38,2461.475
576687000,FUTAGAMI,9105293,YJQJ8,Fish carriers,0,23989,1,1,1,1,1,1,,10/18/2015 20:16:51,WCPFC,1/3/2012 0:09:37,12/29/2015 14:52:57,241500
431070000,RYOAN MARU No. 5,9204192,JPWV,Longliners,1,1008,1,1,1,1,1,1,0.832131495,7/3/2014 5:48:49,ICCAT,1/1/2012 22:06:08,12/31/2015 23:02:52,79761.6
224050560,MANUEL PADRE SEGUNDO,8733641,EARW,Pole and Line vessels,1,8017,0,1,1,1,1,1,1,4/14/2015 8:09:55,ICCAT,6/5/2012 17:58:52,12/8/2015 16:32:20,18858.8
224012690,TOBALINA,,EA8838,Longliners,1,8146,0,1,1,1,1,1,1,12/4/2014 11:27:50,ICCAT,10/16/2012 18:00:36,12/31/2015 23:44:33,7344.8
249000210,Consiglia Madre,,9H5692,Longliners,1,19906,0,1,1,0,1,1,1,5/11/2015 9:35:50,ICCAT,4/4/2013 10:13:59,12/9/2015 9:56:08,3582.7
224130000,BOUSO,,ECBD,Longliners,1,66,1,1,1,1,1,1,,1/13/2015 6:14:31,IOTC,5/13/2012 12:46:39,12/31/2015 20:26:30,49809.2
357788000,MIYABI,,3FTI9,,1,24156,1,1,1,0,0,1,,7/30/2012 9:00:00,CCSBT,1/3/2012 10:11:32,12/31/2015 21:24:39,51821
367156340,GRANADA,7047849,WDD5300,Multipurpose vessels,1,1699,0,1,1,1,1,0,,2/21/2011 3:00:00,IATTC,1/13/2012 15:47:34,12/31/2015 23:45:32,14994.65
367159840,TIMOTHY MICHAEL,8855750,WDD5541,Pole and Line vessels,1,30773,0,1,1,1,1,0,1,1/14/2015 8:17:28,ICCAT,7/30/2015 21:40:21,12/31/2015 23:07:09,137.825
367680850,PLASTIC TOY,,WDI2702,Recreational fishing vessels,1,31553,0,1,1,1,1,1,,7/15/2015 2:44:39,ICCAT,7/1/2015 18:45:55,12/31/2015 23:26:30,31700
567000421,CERIBU,,HSB4907,Longliners,1,28886,0,1,1,1,0,0,1,1/29/2015 5:34:41,IOTC,3/16/2015 6:40:17,12/24/2015 22:48:28,384.125
416002858,Sheng I Tsai No. 368,,BJ4889,Longliners,1,1095,0,1,1,1,0,0,1,4/18/2014 2:00:00,IATTC,8/20/2015 23:01:06,12/10/2015 5:03:46,8.45
416220600,Nian Sheng No. 3,,BJ4959,Longliners,1,21200,0,1,1,1,1,0,1,5/1/2013 2:00:00,IATTC,3/25/2014 13:32:39,12/31/2015 23:04:23,408.225
247096440,ARCOBALENO,,IFXA,Longliners,1,20090,0,1,2,1,1,1,1,1/22/2015 9:28:24,ICCAT,3/4/2013 18:17:55,12/24/2015 11:02:01,13706.8
664541000,Indian Star,9202297,S7SI,Longliners,1,9177,0,1,1,1,1,0,0.9625,1/9/2015 6:33:12,IOTC,7/9/2015 2:39:30,12/31/2015 22:06:54,65.95
412320026,ZHONG SHUI 710,8628999,BZZR9,Tuna longliners,1,16048,1,1,1,1,1,1,1,12/11/2015 1:04:52,WCPFC,7/17/2015 8:56:37,12/31/2015 10:49:43,3250.8
224108000,Minchos Noveno,,EBXJ,Longliners,1,8028,0,1,1,1,1,0,1,8/24/2005 2:00:00,IATTC,7/8/2012 15:52:21,10/5/2015 15:05:31,714.175
224066530,ES NIELL,,EA5529,Unknown,1,30988,0,1,1,1,1,1,,1/19/2015 6:17:44,ICCAT,6/7/2013 14:04:57,12/30/2015 7:08:44,18453.6
432503000,RYOAN MARU No. 15,9333723,7JAM,Longliners,1,1006,1,1,0,1,1,1,0.849470049,7/15/2015 2:29:06,ICCAT,1/3/2012 20:17:33,12/30/2015 0:21:07,67392
271072607,BAYRAM KARADUMAN,,TC3271,Dredgers,1,6993,0,1,1,1,0,1,1,12/16/2014 9:21:48,ICCAT,10/16/2012 20:00:43,12/22/2015 11:15:59,623.4
224047990,ARCA UNO,,EBWO,Longliners,1,26,0,1,1,1,1,1,1,3/30/2015 4:12:40,IOTC,7/27/2012 8:33:30,12/30/2015 9:54:05,27016
