mmsi,shiptype,valid_from,valid_to,shipname,geartype,flag,callsign,imo,tonnage,length,national_id,rfmo_id,rank_name,notes,clav_VRMFID,clav_DateUpdated,clav_TUVI,clav_FlagCode,clav_ParentVesselTypeCode,clav_ParentVesselType,clav_VesselTypeCode,clav_GearTypeCode,clav_LengthTypeCode,clav_TonnageTypeCode,clav_PreviousName,clav_PreviousNameDate,clav_PreviousFlagCode,clav_PreviousFlagCodeDate,clav_AutStatus,clav_DateAutStart,clav_DateAutEnd,clav_DateAutTerm,clav_AutTermCode,clav_AutTermDescription,clav_AutTermReason,clav_URLID
247151160,Non-fishing vessels nei,8/22/2012 14:50:45,12/29/2015 20:01:04,LETIZIA,Longlines (not specified),Italy,IZFW,,138,27.5,ITA000025474,ATEU0ITA00327,ICCAT,,10830,24:55.0,8789,ITA,VOX,Non-fishing vessels nei,VOX,LL,LOA,GT,,,,,Authorized,12/31/2014 18:00:00,12/30/2015 18:00:00,,,,,923
367428110,Multipurpose vessels,8/1/2012 0:20:58,11/10/2015 3:21:27,PROSPECTOR,Multigear not specified,United States of America,WDF2409,,23,17.83,553717,10869,IATTC,,1979,00:00.0,1899,USA,MO,Multipurpose vessels,MO,MUL,LOA,GRT,,,,,Authorized,,,,,,,
238561110,Support Vessels,8/27/2013 14:05:38,12/9/2015 8:31:10,HRVATSKI USPJEH,Purse seines,Croatia,9A4675,8928507,144,29.44,HRV000000742,ATEU0HRV00007,ICCAT,,32623,30:28.0,30508,HRV,VOX,Non-fishing vessels nei,VOS,PS,LOA,GT,EMILYS,1/12/2012 18:00:00,AUS,1/12/2012 15:00:00,Authorized,12/31/2014 18:00:00,12/30/2015 18:00:00,,,,,151
224026880,Unknown,3/1/2013 0:56:14,12/30/2015 10:11:30,MOISES DANIEL,Hooks and lines (not specified),Spain,EA2742,,117.7,22,ESP000023579,ATEU0ESP00763,ICCAT,,34008,27:55.0,28635,ESP,UNK,Unknown,UNK,LX,LOA,GT,,,,,Expired,5/14/2014 15:00:00,12/30/2014 15:00:00,,,,,4260
367104180,Pole and Line vessels,8/10/2012 2:07:16,12/14/2015 5:03:28,MICHELE JEANNE,Hooks and lines (not specified),United States of America,WDC9582,,90,25,688237,AT000USA00126,ICCAT,,8788,44:26.0,7410,USA,LO,Liners,LP,LX,LOA,GRT,,,,,Authorized,1/5/2015 18:00:00,12/30/2015 18:00:00,,,,,2266
224104820,Pole and Line vessels,9/9/2012 4:09:08,12/9/2015 5:01:58,NUEVO TORRE QUITINA,Handline and pole-lines (hand operated),Spain,EAMW,,177,32.5,ESP000023225,ATEU0ESP00290,ICCAT,,9759,09:56.0,8075,ESP,LO,Liners,LP,LHP,LOA,GT,,,,,Authorized,12/31/2005 18:00:00,12/30/2015 18:00:00,,,,,1792
412420901,Longliners,8/21/2013 1:32:36,9/15/2015 13:12:44,Xin Long 67,Longlines (not specified),China,BZ2VW,9741633,462,41,(Zhe)Chuandeng(Ji)FT-200126,15545,IATTC,,28558,00:00.0,24533,CHN,LO,Liners,LL,LL,LOA,GT,,,,,Authorized,,,,,,,
416002948,Tuna longliners,9/22/2013 5:19:31,11/1/2015 21:09:17,CHUAN FA SHIAN NO. 88,Drifting longlines,"Taiwan, Republic of China",BJ4910,,,26.1,CT4-2910,14632,IATTC,,4007,00:00.0,156,TWN,LO,Liners,LLT,LLD,LOA,,,,,,Unauthorized,,,1/30/2012 3:00:00,2,Expiration of authorization,Explicit CLAV 'DROP' request,
440097000,Fish carriers,8/19/2013 23:08:30,11/15/2015 2:58:23,SEIN SKY,,"Korea, Republic of",DSRO7,,5469,124,JJR-131043,10713,WCPFC,,41593,45:09.0,36208,KOR,FO,Fish carriers,FO,,LOA,GT,DAMACO FRANCIA,5/29/2014 15:00:00,LBR,5/29/2014 15:00:00,Authorized,5/30/2014 15:00:00,5/30/2017 15:00:00,,,,,
412420901,Longliners,8/21/2013 1:32:36,9/15/2015 13:12:44,XIN LONG 67,,China,BZ2VW,9741633,462,41,(ZHE)CHUANDENG(JI)(2013)FT-200126,10820,WCPFC,,41699,06:03.0,24533,CHN,LO,Liners,LL,,LBP,GT,Xin Long 67,10/27/2013 15:00:00,,,Authorized,10/28/2013 8:00:00,3/30/2016 8:00:00,,,,,
432343000,Longliners,1/13/2012 4:04:39,12/31/2015 19:56:11,KOTOSHIRO MARU���No. 10,Longlines (not specified),Japan,JQZR,9267041,469,51.2,KN1-741,AT000JPN00039,ICCAT,,6895,48:51.0,637,JPN,LO,Liners,LL,LL,LOA,GRT,KOTOSHIRO MARU No. 10,1/22/2013 18:00:00,,,Authorized,7/31/2012 15:00:00,7/30/2017 15:00:00,,,,,3433
224142870,Longliners,5/3/2012 18:31:18,12/28/2015 11:01:00,ALEXIA,Drifting longlines,Spain,EA2781,,193,28,VI-5-8-96,IOTC000200,IOTC,,11579,14:31.0,16,ESP,LO,Liners,LL,LLD,LOA,GT,,,,,Authorized,12/31/2014 15:00:00,12/30/2015 15:00:00,,,,,76157
416303000,Tuna longliners,2/5/2015 5:50:33,12/31/2015 19:43:39,SHANG SHUN NO.668,Longlines (not specified),"Taiwan, Republic of China",BI2510,8648638,720,57.78,CT7-0510,3951,WCPFC,,22718,17:34.0,1086,TWN,LO,Liners,LLT,LL,LOA,GT,,,,,Authorized,3/31/2015 8:00:00,3/30/2019 8:00:00,,,,,
416702000,Longliners,1/22/2012 15:33:51,12/26/2015 8:10:28,SHENG HONG,,"Taiwan, Republic of China",BZLL,7920869,1866,77.92,CT8-0040,5835,CCSBT,,28186,34:35.0,24161,TWN,LO,Liners,LL,,LOA,GRT,,,,,Authorized,3/31/2015 8:00:00,3/30/2016 8:00:00,,,,,15914
416235500,Tuna longliners,4/17/2013 12:18:54,6/15/2015 12:13:43,KUO RONG,Drifting longlines,"Taiwan, Republic of China",BG3692,,,35.5,CT5-1692,14646,IATTC,,4020,00:00.0,16203,TWN,LO,Liners,LLT,LLD,LOA,,,,,,Authorized,,,,,,,
440226000,Tuna purse seiners,7/19/2014 5:36:30,12/31/2015 19:41:25,MIRAERO,One boat operated purse seines,"Korea, Republic of",6KCD5,9713985,1012,79.6,1408001-6261105,11135,WCPFC,,41992,48:23.0,36607,KOR,SO,Seiners,SPT,PS1,LOA,GT,,,,,Authorized,8/26/2014 8:00:00,8/25/2019 8:00:00,,,,,
224261000,Longliners,1/6/2012 6:52:45,12/31/2015 20:38:55,CEDES,Longlines (not specified),Spain,,,,37.5,VI-73-00,6369,IATTC,,5291,00:00.0,95,ESP,LO,Liners,LL,LL,LOA,,,,,,Authorized,,,,,,,
224120840,Longliners,11/28/2012 17:00:37,12/12/2015 20:57:56,Enrique El Gato,Longlines (not specified),Spain,EA4124,,43,24,AM-1-1-98,8789,IATTC,,6142,00:00.0,1666,ESP,LO,Liners,LL,LL,LOA,GT,ENRIQUE EL GATO,2/21/2011 3:00:00,,,Unauthorized,,5/25/2012 2:00:00,5/25/2012 2:00:00,2,Expiration of authorization,Explicit CLAV 'DROP' request,
577169000,Fish carriers,11/6/2013 3:11:44,5/15/2015 0:08:32,TAISEI MARU No.15,Gear not known or not specified,Japan,7JTK,8710728,4969,124.25,142312,AT000JPN00651,ICCAT,,1000030,13:54.0,23977,JPN,FO,Fish carriers,FO,NK,LOA,GT,TAISEI MARU No.15,6/3/2015 7:36:06,JPN,6/2/2015 15:00:00,Authorized,5/25/2015 17:00:00,7/30/2017 17:00:00,,,,,24833
247101510,Trawlers,8/28/2013 9:20:42,12/29/2015 16:20:58,MANUCCIO,Bottom trawls,Italy,IQIK,,120,25.85,ITA000018214,ATEU0ITA00359,ICCAT,,10857,43:57.0,8816,ITA,TO,Trawlers,TO,TB,LOA,GT,,,,,Expired,12/31/2005 15:00:00,12/30/2014 15:00:00,,,,,952
247148220,Non-fishing vessels nei,10/31/2012 12:00:22,12/29/2015 5:33:59,GIOVANNI VINCENZO,Bottom trawls,Italy,IRJS,,140,26.55,ITA000026630,ATEU0ITA00656,ICCAT,,11071,24:54.0,9030,ITA,VOX,Non-fishing vessels nei,VOX,TB,LOA,GT,,,,,Authorized,12/31/2005 18:00:00,12/30/2015 18:00:00,,,,,809
247145650,Longliners,6/19/2013 14:23:52,12/29/2015 10:04:31,NUOVO SEGUGIO,Longlines (not specified),Italy,IWTM,,58,20.86,ITA000015094,ATEU0ITA00887,ICCAT,,11168,20:10.0,19992,ITA,LO,Liners,LL,LL,LOA,GT,CONCETTINA,12/31/2009 18:00:00,,,Authorized,12/31/2014 15:00:00,12/30/2015 15:00:00,,,,,8841
431469000,Fishery research vessels,1/11/2012 4:30:37,12/21/2015 6:26:57,KAGAWA MARU,Drifting longlines,Japan,JIJQ,,499,50.6,KA1-50,879,WCPFC,,24809,54:08.0,15665,JPN,ZO,Fishery research vessels,ZO,LLD,RGL,GRT,,,,,Authorized,9/1/2015 8:00:00,3/16/2016 8:00:00,,,,,
432987000,Longliners,4/26/2014 23:33:24,12/31/2015 11:57:11,SHOFUKU MARU 18,Longlines (not specified),Japan,7JQU,9709843,439,49.65,1038,6212,CCSBT,,25732,09:01.0,24863,JPN,LO,Liners,LL,LL,REG,GRT,,,,,Authorized,3/31/2015 8:00:00,3/30/2016 8:00:00,,,,,16000
224185250,Unknown,11/10/2012 11:01:26,12/30/2015 17:50:33,PAUNER,Gear not known or not specified,Spain,EA6644,,62.33,26,ESP000026751,ATEU0ESP03395,ICCAT,,33093,17:45.0,30977,ESP,UNK,Unknown,UNK,UNK,LOA,GT,,,,,Expired,7/31/2013 17:00:00,7/31/2015 17:00:00,,,,,24013
238988810,Purse seiners,9/19/2013 13:18:02,12/29/2015 16:19:25,SRDELA,Purse seines,Croatia,9A9126,8657445,159,28.2,81,ATEU0HRV00065,ICCAT,,33687,45:30.0,31569,HRV,SO,Seiners,SP,PS,LOA,GRT,SRDELA,3/16/2004 15:00:00,HRV,3/16/2004 15:00:00,Unauthorized,3/16/2004 15:00:00,12/30/2013 15:00:00,5/7/2013 2:45:30,2,Expiration of authorization,Explicit CLAV 'DROP' request,3637
