mmsi,callsign_count
412468480,1785
0,1442
413000000,735
123456789,589
1193046,542
808664168,473
808663912,435
341765000,392
524288,382
273000100,337
412000000,336
273318230,330
808663857,321
111111111,313
999999999,290
1056946148,286
413550020,276
244645890,244
859032780,239
412353970,229
1,226
413500690,216
871365621,205
412763450,203
134218681,203
412206510,199
273000000,194
100000000,183
136348168,173
888888888,172
524292,170
413320480,170
222222222,158
412550470,155
412353940,147
987654321,132
413371960,127
413817129,118
413419000,112
413402390,107
412345678,105
412501280,101
333333333,101
412419520,101
211484674,100
366816340,99
524296,98
555555555,98
99999999,96
2734499,95
525000000,94
244630550,93
413500680,91
244750359,89
11,89
273439610,88
244970000,87
503000230,83
563021650,81
223430672,81
12345678,80
412888888,80
244711426,79
677056000,77
412435760,75
200000000,75
666666666,74
123456788,74
777777777,73
808466536,73
900000000,73
808466512,71
412123456,71
273345500,70
64099848,70
214709043,69
371861000,67
1073741823,67
123,67
503006520,65
367521610,63
563026490,63
268,62
412419440,61
808466528,61
236457475,61
413784256,60
503645300,59
412000001,59
2,59
244100955,58
273442640,58
413592460,58
444444444,58
533000256,57
305815000,57
411041805,57
273347920,57
1117,57
109050476,56
411041792,56
413123456,56
563021420,56
109054476,56
232002833,54
402655757,54
4403003,54
201006210,53
920101116,52
413358260,52
316021508,51
413888888,51
440000000,51
859032772,51
247313500,50
701000001,50
808466544,50
412378760,49
455366000,49
244780007,49
710000000,49
413810919,48
636092550,48
419000000,48
707800168,48
485070424,48
410000000,47
524300,47
4,46
524329645,46
168,46
701007048,45
354502000,45
636092442,45
244846230,44
357937000,44
411041838,44
413806093,44
563020750,44
416000000,44
413800000,44
228027800,43
367100870,43
411041793,43
16252928,43
411041810,43
412222222,43
234567890,43
211513820,42
247311100,42
244690403,42
312428000,42
243601064,42
302007477,41
808466504,41
244000000,41
413000001,41
367505960,41
412333333,41
741358696,41
249901000,41
636092440,41
244615283,41
2112603,40
411041852,40
700000000,40
413820834,40
246128000,40
857984204,40
211532870,40
411041847,40
244750019,39
201208170,39
244750399,39
598130591,39
467180761,39
777519104,39
411041811,39
8285,39
4156,39
2723675,39
808466480,39
149382685,39
411041829,39
701550000,38
244740158,38
244690408,38
123456,38
195215126,38
370621000,38
244690747,38
413438410,38
215299000,38
411041825,38
701006152,38
411041802,38
244770089,38
15692,38
657579000,38
244615748,37
413811553,37
533000000,37
514033000,37
670060046,37
244846219,37
244846228,37
244846208,37
998501565,37
244045000,37
564400000,37
413812932,37
4403007,37
9,37
244780283,37
211411230,37
412999999,37
244700905,37
236457506,37
411041849,37
411041841,37
413772625,36
248417000,36
356288000,36
352464000,36
413333333,36
411041848,36
134219705,36
413792466,36
244710361,36
268268268,36
244660852,36
400000000,36
244710776,36
413975359,36
236457516,36
411041818,36
411041816,36
413816454,36
244670332,36
312694000,36
413786017,36
244700476,36
34087042,36
800000000,36
367628660,35
243601080,35
244740762,35
411041846,35
244750742,35
243601032,35
999000008,35
244730367,35
411041801,35
244750341,35
230000000,35
243601040,35
463262168,35
411041820,35
411041850,35
412435940,35
300000000,35
244710042,35
244690643,35
244750828,35
367544510,35
244740972,34
411041840,34
236457479,34
411041797,34
411041813,34
411041800,34
636014262,34
370671620,34
211433000,34
411041798,34
244710556,34
411041819,34
244660534,34
205502790,34
411041809,34
413353450,34
338144568,34
244050325,34
244660510,34
701006454,34
244846240,34
109048476,34
512000882,34
219019365,34
4403004,34
244690521,34
566425000,34
232168342,34
244670174,34
236457508,33
244670865,33
412004321,33
411041815,33
244730148,33
244700370,33
5,33
244730603,33
244100001,33
244846224,33
244710367,33
413985223,33
411041853,33
244130293,33
205389826,33
244010771,33
563021660,33
411041795,33
100000001,33
859032652,33
6365,33
411041845,33
244710864,33
244740403,33
352159000,33
244740787,33
437803928,33
411041834,33
413776289,33
244846260,32
411041843,32
411041796,32
244670871,32
244846247,32
211330370,32
243601072,32
244772000,32
16252932,32
244790212,32
244730011,32
236457533,32
574123456,32
788888888,32
411041855,32
244846238,32
244780380,32
244690468,32
244670670,32
411041844,32
244750188,32
219018864,32
244700446,32
411041808,32
244846232,32
244710801,32
411041830,32
259139000,32
411041826,32
236457476,32
211546890,32
211290180,32
243601024,32
244790994,32
998502025,32
211002010,32
244730002,31
445040000,31
244690993,31
244700448,31
236457501,31
200804300,31
244670669,31
244770901,31
413456789,31
236457477,31
244700493,31
236457517,31
244846264,31
701006155,31
109046476,31
244660786,31
16460,31
244710659,31
999999998,31
236457480,31
411041839,31
109058476,31
244690353,31
236457473,31
3,31
236457474,31
411041804,31
244650576,31
236457486,31
244110926,30
413811586,30
